date,open,high,low,close
2022-07-22 08:30:00,0.05780000,0.05850000,0.05760000,0.05810000
2022-07-22 09:00:00,0.05810000,0.05870000,0.05800000,0.05860000
2022-07-22 09:30:00,0.05860000,0.05860000,0.05800000,0.05830000
2022-07-22 10:00:00,0.05820000,0.05840000,0.05790000,0.05800000
2022-07-22 10:30:00,0.05800000,0.05830000,0.05790000,0.05790000
2022-07-22 11:00:00,0.05790000,0.05810000,0.05760000,0.05800000
2022-07-22 11:30:00,0.05800000,0.05820000,0.05770000,0.05810000
2022-07-22 12:00:00,0.05810000,0.05830000,0.05780000,0.05810000
2022-07-22 12:30:00,0.05810000,0.05820000,0.05760000,0.05780000
2022-07-22 13:00:00,0.05770000,0.05790000,0.05700000,0.05730000
2022-07-22 13:30:00,0.05730000,0.05760000,0.05670000,0.05700000
2022-07-22 14:00:00,0.05700000,0.05710000,0.05630000,0.05690000
2022-07-22 14:30:00,0.05700000,0.05740000,0.05680000,0.05710000
2022-07-22 15:00:00,0.05700000,0.05720000,0.05570000,0.05590000
2022-07-22 15:30:00,0.05580000,0.05580000,0.05490000,0.05520000
2022-07-22 16:00:00,0.05520000,0.05560000,0.05490000,0.05540000
2022-07-22 16:30:00,0.05550000,0.05560000,0.05510000,0.05550000
2022-07-22 17:00:00,0.05550000,0.05570000,0.05470000,0.05480000
2022-07-22 17:30:00,0.05490000,0.05490000,0.05440000,0.05480000
2022-07-22 18:00:00,0.05480000,0.05490000,0.05440000,0.05450000
2022-07-22 18:30:00,0.05460000,0.05500000,0.05460000,0.05500000
2022-07-22 19:00:00,0.05500000,0.05530000,0.05500000,0.05520000
2022-07-22 19:30:00,0.05520000,0.05520000,0.05320000,0.05350000
2022-07-22 20:00:00,0.05340000,0.05360000,0.05270000,0.05270000
2022-07-22 20:30:00,0.05270000,0.05300000,0.05260000,0.05300000
2022-07-22 21:00:00,0.05300000,0.05380000,0.05290000,0.05380000
2022-07-22 21:30:00,0.05380000,0.05390000,0.05370000,0.05390000
2022-07-22 22:00:00,0.05380000,0.05390000,0.05350000,0.05390000
